"";"ACRIM";"BCRIM";"CCRIM";"DCRIM";"FEMALE";"SCHOOL"
"257";0;0;0;NA;1;"GY"
"258";0;0;0;NA;1;"GY"
"259";NA;0;0;NA;0;"GY"
"260";0;0;0;NA;1;"GY"
"261";0;1;0;NA;0;"GY"
"262";0;0;1;NA;0;"GY"
"263";0;1;0;NA;1;"GY"
"264";1;1;1;NA;0;"GY"
"265";0;0;NA;NA;1;"GY"
"266";0;0;2;NA;1;"GY"
"267";0;1;4;NA;1;"GY"
"268";0;1;1;NA;1;"GY"
"269";0;0;0;NA;0;"RE"
"270";NA;0;1;NA;0;"RE"
"271";NA;1;0;NA;1;"RE"
"272";2;1;0;NA;0;"GY"
"273";0;0;2;NA;0;"GY"
"274";0;0;1;NA;1;"GY"
"275";0;0;0;NA;0;"GY"
"276";0;0;0;NA;1;"GY"
"277";0;0;0;NA;1;"GY"
"278";1;0;0;NA;0;"GY"
"279";0;0;1;NA;0;"GY"
"280";6;3;2;NA;1;"GY"
"281";0;0;0;NA;1;"GY"
"282";NA;4;4;NA;0;"RE"
"283";0;0;2;NA;0;"GY"
"284";NA;3;2;NA;1;"RE"
"285";NA;0;5;NA;1;"RE"
"286";0;0;0;NA;1;"GY"
"287";NA;1;0;NA;1;"GY"
"288";0;0;0;NA;1;"GY"
"289";2;2;3;NA;0;"GY"
"290";NA;5;11;NA;0;"GY"
"291";0;NA;0;NA;0;"GY"
"292";3;3;3;NA;0;"GY"
"293";NA;4;5;NA;1;"HA"
"294";NA;0;0;NA;0;"HA"
"295";0;NA;1;NA;0;"RE"
"296";0;0;0;NA;0;"GY"
"297";0;3;2;NA;0;"RE"
"298";NA;8;3;NA;0;"RE"
"299";1;4;1;NA;0;"RE"
"300";5;3;0;NA;1;"RE"
"301";NA;0;0;NA;0;"HA"
"302";0;0;12;NA;0;"HA"
"303";NA;7;13;NA;0;"HA"
"304";NA;0;0;NA;0;"HA"
"305";2;0;1;NA;0;"HA"
"306";2;0;2;NA;1;"HA"
"307";NA;1;0;NA;1;"HA"
"308";NA;1;1;NA;0;"RE"
"309";0;0;0;NA;1;"HA"
"310";0;0;1;NA;0;"HA"
"311";4;5;4;NA;0;"HA"
"312";NA;12;14;NA;0;"HA"
"313";NA;9;6;NA;0;"HA"
"314";NA;0;0;NA;0;"HA"
"315";NA;0;1;NA;0;"HA"
"316";0;1;0;NA;0;"HA"
"317";4;7;4;NA;0;"RE"
"318";NA;7;4;NA;1;"RE"
"319";NA;0;0;NA;0;"RE"
"320";NA;0;0;NA;1;"RE"
"321";0;0;0;NA;0;"GY"
"322";NA;4;5;NA;1;"GY"
"323";NA;0;1;NA;1;"RE"
"324";0;0;0;NA;1;"GY"
"325";0;0;0;NA;1;"GY"
"326";1;0;4;NA;1;"GY"
"327";NA;1;2;NA;1;"GY"
"328";NA;1;0;NA;0;"RE"
"329";0;3;2;NA;1;"GY"
"330";1;0;0;NA;1;"GY"
"331";NA;2;1;NA;1;"GY"
"332";NA;2;1;NA;0;"GY"
"333";0;1;0;NA;0;"GY"
"334";NA;4;1;NA;0;"RE"
"335";0;0;0;NA;0;"RE"
"336";0;0;0;NA;0;"RE"
"337";2;0;1;NA;0;"RE"
"338";0;0;3;NA;1;"RE"
"339";0;0;0;NA;0;"RE"
"340";0;NA;0;NA;0;"RE"
"341";0;1;1;NA;0;"RE"
"342";1;0;0;NA;0;"RE"
"343";0;0;0;NA;1;"RE"
"344";NA;0;0;NA;1;"RE"
"345";NA;0;0;NA;1;"RE"
"346";0;1;3;NA;0;"RE"
"347";0;0;0;NA;1;"RE"
"348";0;NA;11;NA;0;"HA"
"349";0;0;5;NA;0;"RE"
"350";1;1;4;NA;1;"RE"
"351";0;NA;0;NA;1;"GY"
"352";0;NA;1;NA;1;"GY"
"353";0;1;0;NA;1;"GY"
"354";0;NA;0;NA;1;"GY"
"355";0;0;0;NA;1;"GY"
"356";NA;0;2;NA;1;"GY"
"357";0;0;0;NA;1;"GY"
"358";0;0;1;NA;1;"GY"
"359";0;0;0;NA;1;"GY"
"360";NA;0;0;NA;1;"GY"
"361";NA;2;1;NA;1;"GY"
"362";NA;3;8;NA;0;"RE"
"363";0;0;0;NA;1;"RE"
"364";NA;1;3;NA;0;"RE"
"365";0;0;1;NA;0;"RE"
"366";NA;1;2;NA;1;"RE"
"367";NA;3;3;NA;0;"RE"
"368";3;2;1;NA;1;"RE"
"369";0;0;0;NA;1;"RE"
"370";0;0;1;NA;0;"RE"
"371";NA;0;3;NA;0;"RE"
"372";0;0;0;NA;0;"RE"
"373";NA;1;0;NA;1;"RE"
"374";9;0;0;NA;1;"RE"
"375";0;0;0;NA;1;"RE"
"376";0;0;1;NA;1;"RE"
"377";0;1;0;NA;1;"RE"
"378";NA;1;3;NA;1;"GY"
"379";0;0;0;NA;1;"GY"
"380";NA;0;1;NA;0;"GY"
"381";3;1;4;NA;0;"GY"
"382";NA;5;5;NA;0;"GY"
"383";1;1;3;NA;0;"GY"
"384";0;NA;3;NA;0;"RE"
"385";0;2;6;NA;0;"RE"
"386";NA;0;0;NA;1;"RE"
"387";NA;0;4;NA;0;"RE"
"388";NA;5;4;NA;0;"GY"
"389";NA;4;4;NA;0;"GY"
"390";0;0;0;NA;0;"GY"
"391";0;0;0;NA;1;"GY"
"392";0;NA;0;NA;0;"HA"
"393";0;3;1;NA;1;"RE"
"394";NA;0;0;NA;0;"GY"
"395";0;0;NA;NA;0;"GY"
"396";0;1;4;NA;0;"GY"
"397";3;2;0;NA;0;"GY"
"398";0;1;0;NA;1;"GY"
"399";NA;0;5;NA;1;"RE"
"400";0;0;0;NA;1;"RE"
"401";0;0;1;NA;1;"RE"
"402";1;0;0;NA;1;"GY"
"403";NA;0;0;NA;0;"GY"
"404";2;1;3;NA;0;"GY"
"405";1;1;2;NA;0;"GY"
"406";0;0;0;NA;0;"GY"
"407";1;0;0;NA;0;"GY"
"408";0;0;0;NA;0;"GY"
"409";NA;1;2;NA;0;"GY"
"410";0;8;8;NA;0;"GY"
"411";0;0;0;NA;1;"GY"
"412";NA;2;2;NA;1;"GY"
"413";0;2;2;NA;1;"GY"
"414";NA;1;2;NA;1;"HA"
"415";0;3;3;NA;0;"HA"
"416";0;0;0;NA;0;"HA"
"417";0;0;0;NA;0;"HA"
"418";1;NA;0;NA;0;"HA"
"419";1;1;1;NA;0;"RE"
"420";NA;0;0;NA;0;"RE"
"421";NA;1;5;NA;0;"RE"
"422";NA;3;3;NA;0;"RE"
"423";0;NA;0;NA;1;"GY"
"424";1;2;5;NA;0;"HA"
"425";0;0;3;NA;1;"HA"
"426";0;11;4;NA;0;"HA"
"427";0;0;7;NA;0;"HA"
"428";3;4;4;NA;0;"HA"
"429";0;0;1;NA;0;"HA"
"430";0;0;1;NA;0;"HA"
"431";5;1;4;NA;0;"HA"
"432";0;0;1;NA;0;"GY"
"433";0;0;11;NA;1;"HA"
"434";0;0;0;NA;1;"GY"
"435";0;0;1;NA;1;"GY"
"436";0;1;0;NA;1;"HA"
"437";0;2;3;NA;1;"HA"
"438";0;0;0;NA;1;"GY"
"439";NA;10;10;NA;0;"RE"
"440";1;0;0;NA;0;"HA"
"441";NA;0;2;NA;1;"GY"
"442";0;0;0;NA;1;"HA"
"443";0;0;2;NA;0;"HA"
"444";0;0;0;NA;1;"GY"
"445";0;0;1;NA;1;"GY"
"446";NA;0;1;NA;1;"GY"
"447";NA;1;0;NA;0;"HA"
"448";0;0;NA;NA;1;"GY"
"449";0;5;NA;NA;0;"HA"
"450";0;0;1;NA;1;"HA"
"451";1;5;3;NA;1;"HA"
"452";NA;4;6;NA;0;"HA"
"453";NA;7;6;NA;0;"HA"
"454";3;2;1;NA;0;"HA"
"455";0;4;1;NA;0;"HA"
"456";1;2;0;NA;0;"HA"
"457";0;0;0;NA;1;"RE"
"458";NA;1;0;NA;0;"HA"
"459";NA;0;9;NA;0;"RE"
"460";0;3;NA;NA;0;"HA"
"461";NA;0;0;NA;1;"HA"
"462";0;2;3;NA;0;"RE"
"463";NA;8;6;NA;0;"RE"
"464";0;1;0;NA;0;"RE"
"465";5;NA;2;NA;0;"RE"
"466";NA;4;3;NA;0;"HA"
"467";1;0;2;NA;0;"HA"
"468";NA;8;4;NA;0;"HA"
"469";2;0;1;NA;0;"HA"
"470";NA;3;5;NA;0;"HA"
"471";0;0;0;NA;1;"RE"
"472";NA;4;3;NA;0;"HA"
"473";1;3;1;NA;0;"HA"
"474";0;0;0;NA;1;"RE"
"475";NA;0;2;NA;0;"RE"
"476";3;6;5;NA;0;"RE"
"477";0;1;4;NA;0;"HA"
"478";NA;1;2;NA;0;"HA"
"479";NA;12;9;NA;0;"RE"
"480";NA;3;6;NA;0;"HA"
"481";4;3;1;NA;0;"HA"
"482";NA;2;3;NA;1;"RE"
"483";2;2;7;NA;0;"RE"
"484";0;0;0;NA;0;"GY"
"485";0;0;0;NA;1;"GY"
"486";0;0;0;NA;0;"GY"
"487";0;0;4;NA;1;"GY"
"488";0;0;0;NA;1;"GY"
"489";0;0;0;NA;1;"GY"
"490";0;0;0;NA;1;"GY"
"491";3;2;1;NA;0;"GY"
"492";0;0;4;NA;0;"GY"
"493";0;0;1;NA;1;"GY"
"494";0;1;1;NA;0;"GY"
"495";0;0;2;NA;0;"GY"
"496";0;0;0;NA;0;"GY"
"497";2;6;5;NA;0;"RE"
"498";NA;3;14;NA;0;"RE"
"499";0;0;0;NA;1;"RE"
"500";1;0;0;NA;0;"RE"
"501";0;0;0;NA;0;"RE"
"502";0;0;NA;NA;0;"RE"
"503";0;0;0;NA;1;"RE"
"504";1;4;2;NA;0;"RE"
"505";NA;0;0;NA;0;"RE"
"506";0;4;2;NA;0;"RE"
"507";NA;1;0;NA;0;"RE"
"508";NA;2;0;NA;0;"RE"
"509";0;0;1;NA;1;"RE"
"510";0;0;0;NA;1;"RE"
"511";0;0;0;NA;1;"HA"
"512";NA;0;0;NA;0;"HA"
"513";NA;1;1;NA;1;"HA"
"514";NA;0;1;NA;0;"RE"
"515";NA;4;1;NA;0;"HA"
"516";0;0;0;NA;0;"RE"
"517";NA;1;1;NA;1;"RE"
"518";0;1;8;NA;0;"RE"
"519";0;0;0;NA;0;"RE"
"520";0;0;0;NA;1;"RE"
"521";NA;4;5;NA;1;"RE"
"522";NA;2;5;NA;1;"RE"
"523";NA;2;1;NA;0;"HA"
"524";0;4;2;NA;0;"HA"
"525";0;1;2;NA;1;"HA"
"526";NA;4;4;NA;0;"RE"
"527";0;0;0;NA;1;"RE"
"528";3;1;1;NA;1;"RE"
"529";0;2;0;NA;1;"HA"
"530";NA;0;0;NA;1;"HA"
"531";NA;0;0;NA;1;"HA"
"532";NA;0;0;NA;1;"HA"
"533";2;13;0;NA;0;"HA"
"534";0;1;0;NA;0;"HA"
"535";0;1;0;NA;0;"HA"
"536";0;1;3;NA;0;"HA"
"537";NA;0;1;NA;1;"HA"
"538";NA;0;0;NA;1;"HA"
"539";2;NA;1;NA;1;"HA"
"540";0;3;2;NA;0;"HA"
"541";NA;1;2;NA;0;"HA"
"542";NA;0;0;NA;0;"HA"
"543";0;NA;1;NA;0;"GY"
"544";0;0;0;NA;1;"GY"
"545";1;NA;1;NA;0;"GY"
"546";NA;5;5;NA;0;"RE"
"547";0;1;1;NA;1;"RE"
"548";NA;6;2;NA;0;"GY"
"549";2;6;8;NA;0;"GY"
"550";5;NA;3;NA;0;"GY"
"551";NA;7;7;NA;0;"GY"
"552";0;0;3;NA;0;"HA"
"553";3;5;10;NA;0;"HA"
"554";1;3;6;NA;0;"HA"
"555";0;NA;0;NA;1;"GY"
"556";NA;4;1;NA;0;"HA"
"557";2;0;0;NA;1;"HA"
"558";NA;0;0;NA;1;"HA"
"559";NA;0;0;NA;0;"HA"
"560";4;9;3;NA;0;"HA"
"561";NA;0;0;NA;0;"HA"
"562";NA;4;4;NA;1;"HA"
"563";NA;1;2;NA;0;"HA"
"564";NA;10;10;NA;0;"HA"
"565";0;1;NA;NA;0;"HA"
"566";3;4;1;NA;0;"HA"
"567";NA;0;0;NA;1;"HA"
"568";NA;0;0;NA;0;"HA"
"569";0;0;NA;NA;0;"HA"
"570";NA;0;0;NA;1;"HA"
"571";0;0;0;NA;1;"HA"
"572";NA;1;0;NA;1;"HA"
"573";1;1;2;NA;0;"HA"
"574";0;6;3;4;0;"HA"
"575";1;3;1;2;0;"HA"
"576";NA;4;6;5;0;"HA"
"577";NA;7;2;1;1;"HA"
"578";3;5;2;4;1;"HA"
"579";2;3;0;0;0;"HA"
"580";1;1;1;0;1;"HA"
"581";0;0;4;2;1;"HA"
"582";0;0;0;0;1;"HA"
"583";0;1;0;0;1;"HA"
"584";NA;NA;1;1;1;"RE"
"585";0;0;0;0;1;"RE"
"586";3;6;4;5;1;"RE"
"587";NA;1;2;1;1;"RE"
"588";0;0;0;0;0;"RE"
"589";0;0;0;0;0;"RE"
"590";1;2;1;2;1;"RE"
"591";1;3;0;2;0;"RE"
"592";0;1;0;3;0;"RE"
"593";0;0;2;0;0;"RE"
"594";NA;NA;0;0;0;"RE"
"595";0;0;0;0;0;"RE"
"596";NA;NA;2;0;0;"RE"
"597";0;0;0;0;1;"RE"
"598";0;0;1;0;1;"RE"
"599";0;0;0;0;1;"RE"
"600";NA;0;0;0;0;"RE"
"601";NA;4;3;2;0;"RE"
"602";NA;0;1;3;0;"RE"
"603";5;6;10;7;0;"RE"
"604";4;4;0;3;0;"RE"
"605";0;0;0;5;0;"RE"
"606";1;0;1;0;1;"RE"
"607";0;0;1;0;1;"RE"
"608";NA;3;4;2;1;"RE"
"609";NA;NA;0;1;1;"RE"
"610";NA;0;0;0;0;"RE"
"611";NA;0;0;0;1;"RE"
"612";NA;0;0;0;1;"RE"
"613";NA;NA;3;1;0;"RE"
"614";NA;10;NA;1;1;"RE"
